Datetime,Total Asset,Cash,Price Close,Direction,Position,Commission
2024-02-27 09:30:00,"12,998.50","10,000.00",nan,,50,0.00
2024-02-27 09:39:00,"12,979.47","9,403.47",nan,Buy,60,1.03
2024-02-27 09:41:00,"12,956.34","8,810.24",nan,Buy,70,1.03
2024-02-27 10:00:00,"12,998.39","9,408.59",nan,Sell,60,1.05
2024-02-27 11:29:00,"12,980.26","8,812.46",nan,Buy,70,1.03
2024-02-27 12:40:00,"12,964.64","8,219.03",nan,Buy,80,1.03
2024-02-27 12:55:00,"12,942.51","7,628.00",nan,Buy,90,1.03
2024-02-27 14:15:00,"12,999.05","8,223.85",nan,Sell,80,1.05
